customer_id,account_id,type,balance,interest,salary_portion
100800,10000,checking,181697.43,0.0,0.4049533766593111
100800,10001,checking,87008.0,0.0,0.19137208396488026
100800,10002,checking,172209.04,0.0,0.16507083355023267
100800,10003,savings,8952.86,0.007871125804070091,0.13323467431215874
100800,10004,savings,5707.12,0.0007347757899744911,0.05086261264044284
100800,10005,savings,5420.78,0.003376503384542894,0.05450641887297431
100801,10006,checking,182922.84,0.0,0.6913157723132111
100802,10007,checking,161774.71,0.0,0.7102628398796506
100802,10008,checking,119124.16,0.0,0.12469088457665532
100802,10009,savings,8837.28,0.006963643463996626,0.13914374556623182
100802,10010,savings,9217.55,0.0038093506485030303,0.025902529977462268
100803,10011,checking,143512.64,0.0,0.7064357263444019
100803,10012,savings,9223.22,0.005473977798510026,0.1110369909101988
100803,10013,savings,8146.93,0.000869905844485841,0.1825272827453993
100804,10014,checking,58400.54,0.0,0.5280838327378773
100804,10015,checking,76655.77,0.0,0.3751725849387243
100804,10016,checking,133837.69,0.0,0.025264519661188853
100804,10017,savings,7820.88,0.001286133784057768,0.05504897381880166
100804,10018,savings,7530.45,0.001273490113799921,0.01643008884340801
100805,10019,checking,62042.61,0.0,0.04507993091078617
100805,10020,checking,68595.54,0.0,0.18508021135331723
100805,10021,checking,158709.12,0.0,0.6558607425813932
100805,10022,savings,6378.65,0.003373093408406572,0.006014423633030577
100805,10023,savings,7593.54,0.004980959808015516,0.10616657291846865
100805,10024,savings,9844.56,0.00547649417588338,0.0017981186030042147
100806,10025,checking,150422.07,0.0,0.6524931908175071
100806,10026,savings,5666.68,0.0041270896162598734,0.34307512972169757
100806,10027,savings,5610.26,0.0084707469396831,0.0044316794607952344
100807,10028,checking,154737.68,0.0,0.8577610287463062
100807,10029,savings,9710.45,0.004044724101600716,0.1422389712536937
100808,10030,checking,149321.61,0.0,0.9254811134884534
100808,10031,savings,8722.98,0.008516334039402681,0.013877368834192435
100808,10032,savings,9320.08,0.00916166475719574,0.060641517677354144
100809,10033,checking,71888.79,0.0,0.2659067333464863
100809,10034,checking,160335.38,0.0,0.47533175478134115
100809,10035,checking,88971.54,0.0,0.2483747450513757
100809,10036,savings,5133.05,0.007809965433553972,0.010386766820796957
100810,10037,checking,107385.65,0.0,0.6355991457347094
100810,10038,checking,84387.65,0.0,0.3302739056851872
100810,10039,savings,5190.63,0.006811615169066881,0.03412694858010319
100811,10040,checking,71372.63,0.0,0.8362682354966183
100811,10041,savings,7734.78,0.00678256730074662,0.04754351783764719
100811,10042,savings,6193.12,0.00554274891123647,0.1161882466657345
100812,10043,checking,101473.88,0.0,0.574974077327052
100812,10044,checking,121812.06,0.0,0.05867895986625925
100812,10045,savings,5842.63,0.0020143865037477115,0.36634696280668894
100813,10046,checking,186121.54,0.0,0.9905527709240805
100813,10047,savings,9670.13,0.005683032660644864,0.009447229075919593
100814,10048,checking,107146.26,0.0,0.7440207654863467
100814,10049,savings,8352.78,0.00747242062174399,0.01796993945916463
100814,10050,savings,6828.57,0.0037542989362268245,0.18305739264631612
100814,10051,savings,5765.18,0.009589769748880069,0.05495190240817254
100815,10052,checking,149243.61,0.0,0.679902984927254
100815,10053,checking,138542.47,0.0,0.1992121313067082
100815,10054,savings,5929.09,0.006722493843595301,0.10168196880089102
100815,10055,savings,6660.81,0.0019483194351722333,0.003782460831397892
100815,10056,savings,6153.36,0.006865712963894198,0.0154204541337489
100816,10057,checking,155854.87,0.0,0.5177046624954436
100816,10058,checking,190357.69,0.0,0.41021179645819755
100817,10059,checking,186898.18,0.0,0.2928547218531709
100817,10060,checking,148715.81,0.0,0.3291182609900259
100817,10061,checking,81325.41,0.0,0.033896130153452865
100817,10062,savings,5622.0,0.005468399917736729,0.2022744245006858
100817,10063,savings,7527.16,0.0074611306434884455,0.14185646250266468
100818,10064,checking,194992.0,0.0,0.6622925267083767
100818,10065,checking,57885.49,0.0,0.224809706428422
100818,10066,checking,77661.57,0.0,0.050723243430266296
100818,10067,savings,6398.96,0.007330531139182145,0.06217452343293499
100819,10068,checking,146046.02,0.0,0.7179907658437769
100820,10069,checking,58397.38,0.0,0.3567013099914403
100820,10070,checking,50183.27,0.0,0.13441662222203324
100820,10071,checking,141075.98,0.0,0.19936141336280402
100820,10072,savings,9745.27,0.008142418415914603,0.3095206544237226
100821,10073,checking,172867.43,0.0,0.7310296642021756
100822,10074,checking,111387.22,0.0,0.39795650873688115
100822,10075,checking,116584.15,0.0,0.2666917737568439
100822,10076,checking,128245.22,0.0,0.13263661925227238
100823,10077,checking,98700.98,0.0,0.25181337770305406
100823,10078,checking,149493.47,0.0,0.5464492746902738
100824,10079,checking,66688.53,0.0,0.04660064392429564
100824,10080,checking,68056.19,0.0,0.5149963899498277
100824,10081,checking,185595.58,0.0,0.28762057703212274
100825,10082,checking,192269.9,0.0,0.25265565052476424
100825,10083,checking,101404.11,0.0,0.040008400539773496
100825,10084,checking,190647.22,0.0,0.5792135477739463
100825,10085,savings,7829.18,0.003732107149900552,0.078393120270384
100825,10086,savings,5735.38,0.005164909395960927,0.022013011233002547
100825,10087,savings,9002.88,0.0043819110086080575,0.027716269658129376
